period value
0.0 2.5
0.01 2.71875
0.02 2.9375
0.03 3.15625
0.04 3.3749999999999996
0.05 3.5937499999999996
0.06 3.8125
0.07 4.03125
0.08 4.25
0.09 4.46875
0.1 4.6875
0.17 4.6875
0.24000000000000002 4.6875
0.31000000000000005 4.6875
0.38 4.6875
0.45000000000000007 4.6875
0.52 4.6875
0.5900000000000001 4.6875
0.66 4.6875
0.7300000000000001 4.6875
0.8 4.6875
0.92 4.076086956521739
1.04 3.605769230769231
1.1600000000000001 3.232758620689655
1.28 2.9296875
1.4 2.678571428571429
1.52 2.4671052631578947
1.6400000000000001 2.2865853658536586
1.76 2.1306818181818183
1.8800000000000001 1.9946808510638296
2.0 1.875
2.2758620689655173 1.4480027548209364
2.5517241379310347 1.1518444119795468
2.8275862068965516 0.9380577037477693
3.103448275862069 0.7787037037037037
3.3793103448275863 0.75
3.655172413793103 0.75
3.9310344827586206 0.75
4.206896551724138 0.75
4.482758620689655 0.75
4.758620689655173 0.75
5.0344827586206895 0.75
5.310344827586206 0.75
5.586206896551724 0.75
5.862068965517241 0.75
6.137931034482759 0.75
6.413793103448276 0.75
6.689655172413793 0.75
6.9655172413793105 0.75
7.241379310344827 0.75
7.517241379310345 0.75
7.793103448275862 0.75
8.068965517241379 0.75
8.344827586206897 0.75
8.620689655172413 0.75
8.89655172413793 0.75
9.172413793103448 0.75
9.448275862068964 0.75
9.724137931034482 0.75
10.0 0.75
